40.72815|-74.06307|E-4|368 Summit Ave Jersey City NJ|2015-12-10T13:16:37
40.68857|-74.08922|E-5|New Jersey Tpke Ext Jersey City NJ|2015-12-10T13:01:59
40.6997|-74.09655|E-6|111 Greenville Ave Jersey City NJ|2015-12-10T13:34:31
40.71142|-74.06272|E-7|303 Pacific Ave Jersey City NJ|2015-12-10T13:34:18
40.72795|-74.06327|E-8|364 Summit Ave Jersey City NJ|2015-12-10T12:59:34
40.71537|-74.06915|E-9|416 Arlington Ave Jersey City NJ|2015-12-10T13:27:09
40.6885|-74.09055|J-10|New Jersey Tpke Ext Jersey City NJ|2015-12-02T16:08:55
40.68863|-74.0903|J-11|13 Linden Ave E Jersey City NJ|2014-10-06T08:19:04
40.68775|-74.09092|J-12|New Jersey Tpke Ext Jersey City NJ|2015-11-05T14:35:11
40.72753|-74.0708|J-22|2667 John F Kennedy Blvd Jersey City NJ|2015-12-10T13:27:18
40.68805|-74.09077|J-23|New Jersey Tpke Ext Jersey City NJ|2015-03-20T22:16:25
40.68783|-74.09042|J-24|New Jersey Tpke Ext Jersey City NJ|2015-11-23T11:23:33
40.6879|-74.09103|J-25|New Jersey Tpke Ext Jersey City NJ|2015-03-20T22:51:25
40.7132|-74.09008|J-26|142 Culver Ave Jersey City NJ|2015-12-10T13:26:18
40.68815|-74.09087|J-27|New Jersey Tpke Ext Jersey City NJ|2015-12-10T13:30:08
40.68923|-74.08985|J-3|Princeton Ave Jersey City NJ|2015-12-08T14:57:17
40.70625|-74.07378|J-5|783 Garfield Ave Jersey City NJ|2015-11-05T15:58:09
40.68753|-74.09088|J-6|New Jersey Tpke Ext Jersey City NJ|2015-11-23T15:48:30
40.6887|-74.09053|J-9|Princeton Ave Jersey City NJ|2015-12-07T00:35:15
40.69632|-74.08953|JLG-Lift|102 Cator Ave Jersey City NJ|2014-07-29T14:43:11
40.68937|-74.09162|M-3|242 Princeton Ave Jersey City NJ|2015-04-26T15:05:09
40.689|-74.08968|M-4|New Jersey Tpke Ext Jersey City NJ|2015-12-10T10:35:46
40.71633|-74.09857|MS-1|Irving Heir Circle Jersey City NJ|2014-08-07T12:04:22
40.68792|-74.09117|MS-2|New Jersey Tpke Ext Jersey City NJ|2014-07-29T14:43:13
40.68813|-74.09165|MS-4|218 Princeton Ave Jersey City NJ|2014-10-02T16:00:07
40.73365|-74.05857|P-1|631 Newark Ave Jersey City NJ|2015-12-10T13:34:53
40.7166|-74.07823|P-10|441 Bergen Ave Jersey City NJ|2015-12-10T13:32:34
40.6879|-74.09088|P-11|New Jersey Tpke Ext Jersey City NJ|2015-09-17T09:14:39
40.71808|-74.08398|P-13|502 West Side Ave Jersey City NJ|2015-12-10T13:34:21
