"year","geoid","ZIP_code","title_field","value"
"2013","86000US07304","07304","Male 21 years",437
"2013","86000US07304","07304","Male 22 to 24 years",849
"2013","86000US07304","07304","Male 25 to 29 years",1759
"2013","86000US07304","07304","Male 30 to 34 years",1461
"2013","86000US07304","07304","Male 35 to 39 years",1450
"2013","86000US07304","07304","Male 40 to 44 years",1366
"2013","86000US07304","07304","Male 45 to 49 years",1503
"2013","86000US07304","07304","Male 50 to 54 years",1370
"2013","86000US07304","07304","Male 55 to 59 years",971
"2013","86000US07304","07304","Male 60 and 61 years",514
"2013","86000US07304","07304","Male 62 to 64 years",611
"2013","86000US07304","07304","Male 65 and 66 years",198
"2013","86000US07304","07304","Male 67 to 69 years",417
"2013","86000US07304","07304","Male 70 to 74 years",294
"2013","86000US07304","07304","Male 75 to 79 years",327
"2013","86000US07304","07304","Male 80 to 84 years",209
"2013","86000US07304","07304","Male 85 years and over",114
"2013","86000US07304","07304","Female Population",21272
"2013","86000US07304","07304","Female Under 5 years",963
"2013","86000US07304","07304","Female 5 to 9 years",1190
"2013","86000US07304","07304","Female 10 to 14 years",1534
"2013","86000US07304","07304","Female 15 to 17 years",678
"2013","86000US07304","07304","Female 18 and 19 years",483
"2013","86000US07304","07304","Female 20 years",295
"2013","86000US07304","07304","Female 21 years",321
"2013","86000US07304","07304","Female 22 to 24 years",885
"2013","86000US07304","07304","Female 25 to 29 years",1894
"2013","86000US07304","07304","Female 30 to 34 years",1758
"2013","86000US07304","07304","Female 35 to 39 years",1263
"2013","86000US07304","07304","Female 40 to 44 years",1478
"2013","86000US07304","07304","Female 45 to 49 years",1799
"2013","86000US07304","07304","Female 50 to 54 years",1374
"2013","86000US07304","07304","Female 55 to 59 years",1577
"2013","86000US07304","07304","Female 60 and 61 years",435
"2013","86000US07304","07304","Female 62 to 64 years",609
"2013","86000US07304","07304","Female 65 and 66 years",329
"2013","86000US07304","07304","Female 67 to 69 years",481
"2013","86000US07304","07304","Female 70 to 74 years",770
"2013","86000US07304","07304","Female 75 to 79 years",617
"2013","86000US07304","07304","Female 80 to 84 years",231
"2013","86000US07304","07304","Female 85 years and over",308
"2013","86000US07304","07304","Total Population in Households",40561
"2013","86000US07304","07304","In family households",34048
"2013","86000US07304","07304","In family households - In married-couple family",17777
"2013","86000US07304","07304","In family households - In married-couple family - Relatives",17533
"2013","86000US07304","07304","In family households - In married-couple family - Nonrelatives",244
"2013","86000US07304","07304","In family households - In male householder, no wife present, family",4051
